S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
839,S109,U1-NRNP ANTIBODIES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1150,2450,46.9%
840,C005,UIBC--SERUM,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),,Direct Determination With Ferrozinc,5.30 PM,Same Day,175,400,43.8%
841,C1304,UREA - 24Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,5.30 PM,Same Day,100,230,43.5%
842,C177,UREA - SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Urease
Colorimetric Spectrophotom etry Calculated",5.30 PM,Same Day,60,150,40.0%
843,C195,UREA - URINE SPOT,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,100,230,43.5%
844,C237,UREA / CREATININE RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Urease
Colorimetric Spectrophotom etry Calculated",5.30 PM,Same Day,175,350,50.0%
845,C178,URIC ACID -  SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry,5.30 PM,Same Day,60,150,40.0%
846,C1305,URIC ACID URINE SPOT,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Urease
Colorimetric Spectrophotom etry Calculated",5.30 PM,Same Day,100,230,43.5%
847,C199,URIC ACID-URINE 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,5.30 PM,Same Day,100,230,43.5%
848,C1313,"URINARY ELECTROLYTES (Na,K & Cl)","15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,ISE DIRECT,5.30 PM,Same Day,450,950,47.4%
849,C227,URINE DRUG SCREEN - PHENCYCLIDINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,LFIC,4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
850,C226,URINE DRUG SCREEN -AMPHETAMINES,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
851,C201,URINE DRUG SCREEN - BENZODIAZEPINES,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
852,H503,URINE DRUG SCREEN-BARBITURATES,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",5.30 PM,Same Day,550,1150,47.8%
853,C303,URINE DRUG SCREEN-CANNABINOIDS,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
854,C222,URINE DRUG SCREEN-COCAINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
855,C301,URINE DRUG SCREEN-CODEINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
856,C299,URINE DRUG SCREEN-HEROIN,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
857,C271,URINE DRUG SCREEN-MORPHINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
858,C220,URINE DRUG SCREEN-OPIATES,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
859,H001,URINE EXAMINATION ROUTINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Double
Indicators Test Refractometric Oxidation",5.30 PM,Same Day,45,100,45.0%
860,C197,URINE FOR CHYLE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Chemical Method,4.30 PM,Next day Evening Except Sunday,250,600,41.7%
861,H008,URINE FOR FAT GLOBULES,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Light Microscopy,5.30 PM,Same Day,90,200,45.0%
862,C153,URINE PROTEIN - 24Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,4.30 PM,Same Day,100,230,43.5%
863,C179,VALPROIC ACID (SODIUM VALPROATE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,450,950,47.4%
864,S078,VARICELLA ZOSTER VIRUS IGM (CHICKEN POX) - INFECTION,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
865,C644,VITAMIN A (RATINOL),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"IF SERUM COLLECTED: Do
not use SST gel barrier tubes. IF PLASMA COLLECTED:
Separate plasma",ELISA/HPLC,4.30 PM,2nd Working Day,2050,4250,48.2%
866,C316,VITAMIN B1 (THIAMINE),"IF SERUM COLLECTED: 2 ml. (1 ml. Minimum)
Serum from 1 SST (Red top with no additive).Separate serum from cells within 1 hour of collection. IF PLASMA COLLECTED: 2","FROZEN  (-20°C) in
dry ice.","IF SERUM COLLECTED: Do
not use SST gel barrier tubes. IF PLASMA COLLECTED:
Separate plasma",ELISA/HPLC,4.30 PM,2nd Working Day,2050,4250,48.2%
867,C180,VITAMIN B12 (CYANOCOBALAMIN),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,200,850,23.5%
868,C317,VITAMIN B6  (PYRIDOXINE),"IF SERUM COLLECTED: 2 ml. (1 ml. Minimum)
Serum from 1 SST (Red top with no additive).Separate serum from cells within 1 hour of collection. IF PLASMA COLLECTED: 2","FROZEN  (-20°C) in
dry ice.","IF SERUM COLLECTED: Do
not use SST gel barrier tubes. IF PLASMA COLLECTED:
Separate plasma",ELISA/HPLC,4.30 PM,2nd Working Day,2050,4250,48.2%
869,C307,VITAMIN C (ASCORBIC ACID),2 ml. (1 ml. Minimum) Serum / WB-EDTA,"FROZEN  (-20°C) in
dry ice.","IF SERUM COLLECTED: Do
not use SST gel barrier tubes. IF PLASMA COLLECTED:
Separate plasma",ELISA/HPLC,4.30 PM,2nd Working Day,2050,4250,48.2%
870,C189,VITAMIN D 25-HYDROXY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Enhanced
Chemiluminesc ence (Ultre Sensitive 4th",5.30 PM,Same Day,550,1200,45.8%
871,C215,VITAMIN E (TOCOPHEROL),2ml.(1ml. Minimum)EDTA Plasma/Serum,Refrigerated(2-8°C),,ELISA/HPLC,4.30 PM,Next day Evening Except Sunday,2250,5050,44.6%
872,C235,VLDL -VERY LOW DENSITY LIPOPROTEIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Calculated,5.30 PM,Same Day,150,350,42.9%
873,C181,VMA - 24Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do not use preservatives,"Biochemical
Column ChromatuGrap hy",4.30 PM,Next day Evening Except Sunday,2050,4250,48.2%
874,H062,VON WILLEBRAND FACTOR ANTIGEN; VWF,2ml. (1 ml. Minimum) Plasma in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),Brief clinical history mandatory,Latex Immunoassay,4.30 PM,Next day Evening Except Sunday,6850,13800,49.6%
875,S069,WEIL FELIX TEST - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Heterophile agglutination,4.30 PM,Next day Evening Except Sunday,500,1050,47.6%
876,S070,WIDAL (SLIDE AGGLUTINATION),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Slide Immunoassay Method,5.30 PM,Same Day,60,150,40.0%
877,S071,WIDAL (TUBE AGGLUTINATION),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,TUBE IMMUNOASSA Y METHOD,4.30 PM,Next day Evening Except Sunday,100,230,43.5%
878,C185,ZINC -Serum,3 mL ( 1 ml. Minimum ) serum from metal free SST.,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred. The patient should strictly avoid eating sea/fresh water Fish",AAS (Atomic Absorption Spectrometry ),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
879,C184,ZINC- URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,AAS (Atomic Absorption Spectrometry ),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
880,C183,ZINC-Plasma,2ml.(1ml. Minimum)WB-EDTA,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred. The patient should strictly avoid eating sea/fresh water Fish",AAS (Atomic Absorption Spectrometry ),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
